graph,operator,count,shape,shape_mode,rknn_support,fallback_plan,evidence
python_source_call_chain,avg_pool2d,3,source-dependent,unknown_until_export,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Test the fixed-shape subgraph with the installed RKNN Toolkit2 version.,${COTRACKER_ROOT}/cotracker/models/core/cotracker/cotracker3_online.py:405; ${COTRACKER_ROOT}/cotracker/models/core/cotracker/blocks.py:239; ${COTRACKER_ROOT}/cotracker/models/core/cotracker/blocks.py:304
python_source_call_chain,einsum,1,source-dependent,unknown_until_export,NOT_SUPPORTED_RKNN_TOOLKIT2_2.3.2_REFERENCE,Use the numerically tested reshape + batched MatMul candidate.,${COTRACKER_ROOT}/cotracker/models/core/cotracker/cotracker3_online.py:202
python_source_call_chain,grid_sample,2,source-dependent,unknown_until_export,NOT_SUPPORTED_RKNN_TOOLKIT2_2.3.2_REFERENCE,Keep coordinate sampling on CPU NEON/Mali GPU or a verified custom implementation.,${COTRACKER_ROOT}/cotracker/models/core/model_utils.py:253; ${COTRACKER_ROOT}/cotracker/models/core/model_utils.py:420
python_source_call_chain,interpolate,2,source-dependent,unknown_until_export,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Test the fixed-shape subgraph with the installed RKNN Toolkit2 version.,${COTRACKER_ROOT}/cotracker/models/core/cotracker/cotracker3_online.py:153; ${COTRACKER_ROOT}/cotracker/models/core/cotracker/blocks.py:203
python_source_call_chain,matmul,1,source-dependent,unknown_until_export,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Test the fixed-shape subgraph with the installed RKNN Toolkit2 version.,${COTRACKER_ROOT}/cotracker/models/core/cotracker/blocks.py:359
python_source_call_chain,softmax,1,source-dependent,unknown_until_export,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Test the fixed-shape subgraph with the installed RKNN Toolkit2 version.,${COTRACKER_ROOT}/cotracker/models/core/cotracker/blocks.py:395
cotracker_feature_encoder.onnx,Add,8,"[1,128,24,32]|[1,128,24,32] -> [1,128,24,32]; [1,128,48,64]|[1,128,48,64] -> [1,128,48,64]; [1,64,192,256]|[1,64,192,256] -> [1,64,192,256]; [1,96,96,128]|[1,96,96,128] -> [1,96,96,128]",static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,Clip,1,"[unk__0,1,unk__19,unk__20]|[] -> [unk__0,1,unk__19,unk__20]",dynamic,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,Concat,5,"[2]|[2] -> [4]; [unk__0,unk__1,unk__2,unk__3]|[unk__4,unk__5,unk__6,unk__7]|[unk__8,unk__9,unk__10,unk__11]|[unk__12,unk__13,unk__14,unk__15] -> [unk__0,unk__16,unk__2,unk__3]",dynamic/static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,Constant,63,? -> [128]; ? -> [1]; ? -> [256]; ? -> [2]; ? -> [64]; ? -> [96],static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,Conv,22,"[1,128,24,32] -> [1,128,24,32]; [1,128,48,64] -> [1,128,24,32]; [1,128,48,64] -> [1,128,48,64]; [1,3,384,512] -> [1,64,192,256]; [1,64,192,256] -> [1,64,192,256]; [1,64,192,256] -> [1,96,96,128]",dynamic/static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,Div,2,"[1,3,384,512]|[] -> [1,3,384,512]; [unk__0,128,unk__19,unk__20]|[unk__0,1,unk__19,unk__20] -> [1,128,96,128]",dynamic/static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,InstanceNormalization,21,"[1,128,24,32]|[128]|[128] -> [1,128,24,32]; [1,128,48,64]|[128]|[128] -> [1,128,48,64]; [1,64,192,256]|[64]|[64] -> [1,64,192,256]; [1,96,96,128]|[96]|[96] -> [1,96,96,128]; [unk__0,256,unk__17,unk__18]|[256]|[256] -> [unk__0,256,unk__17,unk__18]",dynamic/static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
cotracker_feature_encoder.onnx,Mul,2,"[1,3,384,512]|[] -> [1,3,384,512]; [unk__0,128,unk__19,unk__20]|[unk__0,128,unk__19,unk__20] -> [unk__0,128,unk__19,unk__20]",dynamic/static,REQUIRES_ACTUAL_TOOLKIT_CONVERSION,Verify with the installed converter and record its exact diagnostic.,${ARTIFACT_ROOT}/cotracker_feature_encoder.onnx
