record_id,frame_count,fps,tracker_blocks,tracker_mean_ms,tracker_p95_ms,tracker_p99_ms,good_frames,degraded_frames,invalid_frames
16,1098,50.0,137,176.94907412476783,244.96356248855585,403.4867004305097,1098,0,0
26,1076,50.0,134,171.16659651718922,208.1941300071776,370.9387324750405,1076,0,0
48,878,48.95,109,177.1064527127721,239.24584090709683,352.32005491852766,878,0,0
6,912,49.95,113,230.15766727647423,260.1862743496894,421.57589875161574,912,0,0
61,1034,50.0,129,191.66696711277314,291.8107476085423,394.8333466798067,1034,0,0
65,1221,50.0,152,187.49626790859588,272.78747577220196,309.54453155398375,1221,0,0
69,1443,49.95,180,176.54988197609782,232.3366237804293,462.3539067618551,1443,0,0
71,1550,50.0,193,173.485929127107,215.56434482336022,256.7009039968234,1550,0,0
84,1831,50.0,228,155.60172106090346,217.58741615340102,246.6701639816165,1831,0,0
85,2675,50.0,334,185.8127530452288,260.50883559510095,523.5228958353408,2675,0,0
