record_id,event_id,camera_id,site_id,scale_state,pga_horizontal_vector_gal,alignment_offset_s,alignment_correlation,alignment_status,feature_version,window_start,window_end,sample_count,effective_fps,timestamp_rms_jitter_s,estimated_missing_frames,common_peak_displacement_px,common_rms_displacement_px,common_peak_velocity_px_s,common_peak_acceleration_px_s2,common_rms_acceleration_px_s2,common_dominant_frequency_hz,common_energy_0p3_1_hz,common_energy_1_3_hz,common_energy_3_8_hz,strong_motion_duration_s,residual_rms_px,residual_peak_px,residual_median_point_rms_px,residual_p95_point_rms_px,residual_point_dispersion_px,active_object_fraction,mean_visibility,mean_inlier_ratio,mean_fit_rmse_px,mean_active_track_count,quality_flags,derivative_method,causal,alignment_domain,alignment_acceleration_correlation,alignment_displacement_correlation
6,6,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,67.97952286534527,68.35,0.32782439267932817,LOW_CORRELATION,videoeew-motion-v1,0.0,18.23823823823824,912,49.95000000000002,1.664591734444821e-16,0,0.3200330601522879,0.070015023579364,5.926733902644177,98.68564479494077,19.744183126478294,0.49292763157894753,0.0003334924555171912,0.00018384502746882656,0.0003463924231624529,12.032032032032028,0.3247057891876647,2.0061442623225854,0.25841607614390805,0.40885813084417866,0.1572364994277531,0.02905701754385965,1.0,0.9928728070175439,0.2860770925847095,32.0,GOOD,local_polynomial,0,displacement,0.07960510869026236,0.32782439267932817
16,16,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,97.42822199958286,20.33,0.3479285158802205,LOW_CORRELATION,videoeew-motion-v1,0.0,21.94,1098,50.000000000001066,8.90739194875596e-16,0,0.550713310655834,0.15219940079493371,12.933898213608535,223.32481357159767,54.81731787866218,3.5519125683060864,0.0002662779988406629,0.0003206249803399438,0.008169823934857214,11.519999999999754,0.3242731473223195,1.3088149674063732,0.28230799084996194,0.49007046893152334,0.1084816972340632,0.02336634790528233,1.0,1.0,0.3157776191253641,32.0,GOOD,local_polynomial,0,displacement,0.20382130806968451,0.3479285158802205
26,26,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,94.36506877547433,5.929999999999999,0.7362518933149896,ALIGNED,videoeew-motion-v1,0.0,21.5,1076,50.000000000001066,8.800171098896466e-16,0,8.792361204311574,2.47870510835372,191.99373751097383,3285.891711769922,914.5136279518229,3.5315985130112275,0.004866087443535906,0.016528373684267683,2.9753802179668143,9.779999999999792,1.279168114069046,22.03219271825539,0.3470315342972159,0.9752311419989859,1.410851704336142,0.051986524163568776,0.9890508828996283,0.982167750929368,0.3664387088255471,31.649628252788105,GOOD,local_polynomial,0,displacement,0.7210507901749361,0.7362518933149896
48,48,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,217.87330032842482,7.509999999999999,0.6453010726139387,ALIGNED,videoeew-motion-v1,0.0,17.916241062308476,878,48.950000000000024,8.108039114400259e-16,0,10.846495582622556,2.5225375072615264,251.80691364127185,4255.133767633866,837.4202050688431,3.5123576309795004,0.0010474107873752608,0.07455114959049823,2.4409064233490336,7.558733401430027,0.3951165800442112,1.797485837397075,0.3392410370832696,0.6551432379338902,0.12759754233706316,0.04171412300683371,0.9974373576309795,0.9996417046317388,0.37349577188622557,31.917995444191344,GOOD,local_polynomial,0,displacement,0.3415578808406248,0.6453010726139387
61,61,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,227.97999387665578,10.149999999999999,0.49590492758197474,ALIGNED,videoeew-motion-v1,0.0,20.66,1034,50.000000000001066,8.630320376295761e-16,0,3.4694587305969353,0.5969407333891716,63.805980231823895,994.9010111390648,199.67981255528903,3.529980657640307,0.0005949991114144778,0.009088005115257189,0.10372583825778256,7.559999999999839,0.32377376676965813,1.214549739969294,0.257080018660398,0.4868951316476831,0.12279409460066103,0.03285178916827853,1.0,1.0,0.3161542778441052,32.0,GOOD,local_polynomial,0,displacement,0.3514359680980096,0.49590492758197474
65,65,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,247.00926846173203,10.209999999999999,0.5763295779436213,ALIGNED,videoeew-motion-v1,0.0,24.4,1221,50.000000000001066,9.264255910624639e-16,0,19.711802273837325,4.263010224618051,351.31142624972716,6187.031663786847,1516.0288736455436,3.521703521703597,0.019737912158864942,0.19065320489014626,8.406526577227988,8.559999999999818,0.4092388120001121,2.1653175414580663,0.35411033463576924,0.6131279361043893,0.15820979267810328,0.028716216216216218,0.9957002457002457,0.997261466011466,0.38747848493510906,31.862407862407863,GOOD,local_polynomial,0,displacement,0.46724709709505513,0.5763295779436213
69,69,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,293.2268369709703,6.329999999999999,0.5211144201758982,ALIGNED,videoeew-motion-v1,0.0,28.868868868868866,1443,49.95000000000002,1.323074478267048e-16,0,22.6505929594436,4.377149532808549,417.06363752522964,7460.410618813103,1364.1581662616131,3.496153846153847,0.003778442813487797,0.21112526684700042,6.586464646610428,7.247247247247245,0.9007398871143508,7.937561621637249,0.4339608526525981,1.0043294888411847,0.6602953430609861,0.05385914760914761,0.9973362785862786,0.9740797714588038,0.48695778755027036,31.914760914760915,GOOD,local_polynomial,0,displacement,0.46274252946533323,0.5211144201758982
71,71,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,292.9189628634513,8.169999999999998,0.604216737980169,ALIGNED,videoeew-motion-v1,0.0,30.98,1550,50.000000000001066,1.0009529087285971e-15,0,16.521642188827474,3.9448966392321636,309.5208483501557,5118.758262758141,1280.1646480831166,3.3870967741936204,0.0035494624710663714,0.4384320593150227,6.044213096718552,12.359999999999737,0.5079242734681657,15.1694992418156,0.38116015596391584,0.6468209172609873,0.41981285994059014,0.013487903225806452,0.9793145161290323,0.9992624869927159,0.4081687555931876,31.338064516129034,GOOD,local_polynomial,0,displacement,0.39103235134180303,0.604216737980169
84,84,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,402.02150517727284,7.309999999999999,0.40682975976387226,ALIGNED,videoeew-motion-v1,0.0,36.6,1831,50.000000000001066,1.5734637396003663e-15,0,10.097746855280505,1.8356338893233242,234.340759596397,4038.2289138123924,678.4978475083939,3.522665210267688,0.0016888835302077284,0.0027660826517309227,1.5948332054410985,7.799999999999834,0.7275620029624967,3.3776458953729516,0.5576196439010539,1.436460494673254,0.3413242916251426,0.06879778809393775,0.9998805297651556,0.9519712772267344,0.5715497896515214,31.99617695248498,GOOD,local_polynomial,0,displacement,0.20923853975146425,0.40682975976387226
85,85,unknown_same_setup,shake_table_setup_unknown,UNCALIBRATED,411.8073493236856,0.57,0.18591215219479512,LOW_CORRELATION,videoeew-motion-v1,0.0,53.48,2675,50.000000000001066,2.382894505195208e-15,0,8.476048804610132,1.3771528818351089,195.66490823180195,3429.3210026476577,517.0318467630674,3.4953271028038126,0.0012084114424711135,0.008619200002286703,0.8854407966222821,8.359999999999822,0.6915515402134441,2.8152196523740405,0.5168068938661109,1.1236940526147638,0.32602173417562835,0.043376168224299065,1.0,0.9691822429906543,0.5816577097992074,32.0,GOOD,local_polynomial,0,acceleration,0.18591215219479512,0.1787236500542284
