record_id,pairing_status,video_path,video_status,fps,width,height,frame_count,duration_s,timestamp_source,strong_motion_paths,strong_motion_segments,strong_motion_samples,strong_motion_duration_s,pga_horizontal_vector_gal,pga_max_horizontal_component_gal,event_group,camera_id,site_id,scale_state
0,paired,${DATA_ROOT}/视频/0.avi,readable,49.652436,2448,2048,3742,75.36387539978904,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/0.txt,1,13600,135.99,67.93915071591637,51.459,0,unknown,shake_table_setup_unknown,UNCALIBRATED
1,missing_strong_motion,${DATA_ROOT}/视频/1.avi,readable,49.950052,2448,2048,1080,21.621599112649573,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,1,unknown,shake_table_setup_unknown,UNCALIBRATED
2,paired,${DATA_ROOT}/视频/2.avi,readable,50.0,2448,2048,1690,33.8,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/2.txt,1,8600,85.99,54.60550101409198,50.175,2,unknown,shake_table_setup_unknown,UNCALIBRATED
3,paired,${DATA_ROOT}/视频/3.avi,readable,49.603172,2448,2048,2414,48.666242554004405,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/3.txt,1,5900,58.99,79.76975316496849,79.144,3,unknown,shake_table_setup_unknown,UNCALIBRATED
4,missing_strong_motion,${DATA_ROOT}/视频/4.avi,readable,49.950052,2448,2048,1681,33.65361861885549,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,4,unknown,shake_table_setup_unknown,UNCALIBRATED
5,paired,${DATA_ROOT}/视频/5.avi,readable,50.0,2448,2048,4413,88.26,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/5.txt,1,10600,105.99,59.374971738940644,59.338,5,unknown,shake_table_setup_unknown,UNCALIBRATED
6,paired,${DATA_ROOT}/视频/6.avi,readable,49.950052,2448,2048,911,18.238219251503484,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/6.txt,1,11600,115.99,67.97952286534526,64.347,6,unknown,shake_table_setup_unknown,UNCALIBRATED
7,paired,${DATA_ROOT}/视频/7.avi,readable,50.0,2448,2048,6554,131.08,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/7.txt,1,6700,66.99,65.6669864163112,64.617,7,unknown,shake_table_setup_unknown,UNCALIBRATED
8,missing_strong_motion,${DATA_ROOT}/视频/8.avi,readable,50.0,2448,2048,1162,23.24,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,8,unknown,shake_table_setup_unknown,UNCALIBRATED
9,missing_strong_motion,${DATA_ROOT}/视频/9.avi,readable,49.950052,2448,2048,1354,27.107078887525482,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,9,unknown,shake_table_setup_unknown,UNCALIBRATED
10,paired,${DATA_ROOT}/视频/10.avi,readable,50.0,2448,2048,1657,33.14,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/10.txt,1,5900,58.99,99.71828406566169,97.969,10,unknown,shake_table_setup_unknown,UNCALIBRATED
11,paired,${DATA_ROOT}/视频/11.avi,readable,50.0,2448,2048,2794,55.88,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/11.txt,1,5600,55.99,101.02303149777282,77.333,11,unknown,shake_table_setup_unknown,UNCALIBRATED
12,paired,${DATA_ROOT}/视频/12.avi,readable,50.0,2448,2048,1984,39.68,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/12.txt,1,5600,55.99,88.43390802740768,88.117,12,unknown,shake_table_setup_unknown,UNCALIBRATED
13,missing_strong_motion,${DATA_ROOT}/视频/13.avi,readable,49.950052,2448,2048,1148,22.98295905677936,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,13,unknown,shake_table_setup_unknown,UNCALIBRATED
14,paired,${DATA_ROOT}/视频/14.avi,readable,50.0,2448,2048,2016,40.32,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/14.txt,1,6400,63.99,88.11800381306875,84.136,14,unknown,shake_table_setup_unknown,UNCALIBRATED
15,missing_strong_motion,${DATA_ROOT}/视频/15.avi,readable,50.0,2448,2048,1184,23.68,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,15,unknown,shake_table_setup_unknown,UNCALIBRATED
16,paired,${DATA_ROOT}/视频/16.avi,readable,50.0,2448,2048,1098,21.96,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/16.txt,1,11600,115.99,97.42822199958286,97.161,16,unknown,shake_table_setup_unknown,UNCALIBRATED
17,paired,${DATA_ROOT}/视频/17.avi,readable,49.950052,2448,2048,1229,24.604578990228077,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/17.txt,1,5700,56.99,91.18732343917108,89.62,17,unknown,shake_table_setup_unknown,UNCALIBRATED
18,missing_strong_motion,${DATA_ROOT}/视频/18.avi,readable,50.0,2448,2048,1861,37.22,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,18,unknown,shake_table_setup_unknown,UNCALIBRATED
19,paired,${DATA_ROOT}/视频/19.avi,readable,49.950052,2448,2048,3773,75.53545690002485,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/19.txt,1,11600,115.99,85.8242395713472,82.707,19,unknown,shake_table_setup_unknown,UNCALIBRATED
20,missing_strong_motion,${DATA_ROOT}/视频/20.avi,readable,50.0,2448,2048,1773,35.46,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,20,unknown,shake_table_setup_unknown,UNCALIBRATED
21,paired,${DATA_ROOT}/视频/21.avi,readable,49.950052,2448,2048,1139,22.802779064173947,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/21.txt,1,11600,115.99,61.49341371236435,60.967,21,unknown,shake_table_setup_unknown,UNCALIBRATED
22,paired,${DATA_ROOT}/视频/22.avi,readable,50.0,2448,2048,1302,26.04,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/22.txt,1,11600,115.99,99.3758228594863,99.28,22,unknown,shake_table_setup_unknown,UNCALIBRATED
23,paired,${DATA_ROOT}/视频/23.avi,readable,50.0,2448,2048,1159,23.18,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/23.txt,1,11600,115.99,125.07065731017808,124.798,23,unknown,shake_table_setup_unknown,UNCALIBRATED
24,paired,${DATA_ROOT}/视频/24.avi,readable,50.0,2448,2048,1684,33.68,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/24.txt,1,10100,100.99,104.35228375076417,89.032,24,unknown,shake_table_setup_unknown,UNCALIBRATED
25,paired,${DATA_ROOT}/视频/25.avi,readable,49.950052,2448,2048,1497,29.969938770033714,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/25.txt,1,9600,95.99,125.02002275235755,124.192,25,unknown,shake_table_setup_unknown,UNCALIBRATED
26,paired,${DATA_ROOT}/视频/26.avi,readable,50.0,2448,2048,1076,21.52,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/26.txt,1,5700,56.99,94.36506877547433,94.357,26,unknown,shake_table_setup_unknown,UNCALIBRATED
27,paired,${DATA_ROOT}/视频/27.avi,readable,49.950052,2448,2048,1763,35.29525855148259,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/27.txt,1,9600,95.99,75.00908651623482,70.804,27,unknown,shake_table_setup_unknown,UNCALIBRATED
28,paired,${DATA_ROOT}/视频/28.avi,readable,49.950052,2448,2048,1930,38.63859841427192,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/28.txt,1,10800,107.99,89.06381294891882,81.892,28,unknown,shake_table_setup_unknown,UNCALIBRATED
29,paired,${DATA_ROOT}/视频/29.avi,readable,50.0,2448,2048,2261,45.22,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/29.txt,1,11600,115.99,101.41448354648364,91.453,29,unknown,shake_table_setup_unknown,UNCALIBRATED
30,paired,${DATA_ROOT}/视频/30.avi,readable,50.0,2448,2048,1997,39.94,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/30.txt,1,9600,95.99,103.87549765464424,88.625,30,unknown,shake_table_setup_unknown,UNCALIBRATED
31,paired,${DATA_ROOT}/视频/31.avi,readable,50.0,2448,2048,2892,57.84,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/31.txt,1,10100,100.99,127.67646660602729,126.742,31,unknown,shake_table_setup_unknown,UNCALIBRATED
32,paired,${DATA_ROOT}/视频/32.avi,readable,49.504952,2448,2048,2010,40.601998765699236,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/32.txt,1,5900,58.99,169.96284627235448,168.637,32,unknown,shake_table_setup_unknown,UNCALIBRATED
