point_id,visible_fraction,start_x_px,start_y_px
0,1.0,319.0,92.0
1,1.0,226.0,225.0
2,1.0,126.0,56.0
3,1.0,126.0,334.0
4,1.0,237.0,310.0
5,1.0,127.0,176.0
6,1.0,23.0,48.0
7,1.0,274.0,37.0
8,1.0,451.0,50.0
9,1.0,395.0,344.0
10,1.0,363.0,217.0
11,1.0,390.0,51.0
12,0.9965792474344356,9.0,317.0
13,1.0,441.0,301.0
14,1.0,46.0,192.0
15,1.0,439.0,159.0
16,0.9863169897377423,442.0,377.0
17,1.0,367.0,215.0
18,1.0,367.0,96.0
19,1.0,440.0,147.0
20,1.0,390.0,259.0
21,1.0,318.0,73.0
22,1.0,212.0,159.0
23,1.0,130.0,86.0
24,0.9464082098061574,3.0,93.0
25,1.0,211.0,133.0
26,1.0,272.0,142.0
27,1.0,223.0,244.0
28,1.0,147.0,71.0
29,1.0,57.0,283.0
30,1.0,299.0,300.0
31,1.0,164.0,301.0
